Semester,StartDate,EndDate
Fall,8/31/2009,12/20/2009
Winter,12/21/2009,1/17/2010
Spring,1/18/2010,5/16/2010
Summer,5/17/2010,8/29/2010
Fall,8/30/2010,12/19/2010
Winter,12/20/2010,1/9/2011
Spring,1/10/2011,5/8/2011
Summer,5/9/2011,8/28/2011
Fall,8/29/2011,12/18/2011
Winter,12/19/2011,1/8/2012
Spring,1/9/2012,5/6/2012
Summer,5/7/2012,8/26/2012
Fall,8/27/2012,12/16/2012
Winter,12/17/2012,1/13/2013
Spring,1/14/2013,5/12/2013
Summer,5/13/2013,8/25/2013
Fall,8/26/2013,12/15/2013
Winter,12/16/2013,1/12/2014
Spring,1/13/2014,5/11/2014
Summer,5/12/2014,8/24/2014
Fall,8/25/2014,12/14/2014
Winter,12/15/2014,1/11/2015
Spring,1/12/2015,5/10/2015
Summer,5/11/2015,8/30/2015
Fall,8/31/2015,12/20/2015
Winter,12/21/2015,1/17/2016
Spring,1/18/2016,5/15/2016
Summer,5/16/2016,8/28/2016
Fall,8/29/2016,12/18/2016
Winter,12/19/2016,1/15/2017
Spring,1/16/2017,5/14/2017
Summer,5/15/2017,8/27/2017
Fall,8/28/2017,12/17/2017
Winter,12/18/2017,1/14/2018
Spring,1/15/2018,5/13/2018
Summer,5/14/2018,8/19/2018
Fall,8/20/2018,12/16/2018
Winter,12/17/2018,1/13/2019
Spring,1/14/2019,5/12/2019
Summer,5/13/2019,8/18/2019
Fall,8/19/2019,12/15/2019
Winter,12/16/2019,1/12/2020
Spring,1/13/2020,5/10/2020
Summer,5/11/2020,8/23/2020
Fall,8/24/2020,12/20/2020
Winter,12/21/2020,1/17/2021
Spring,1/18/2021,5/16/2021
Summer,5/17/2021,8/22/2021
Fall,8/23/2021,12/19/2021
Winter,12/20/2021,1/16/2022
Spring,1/17/2022,5/15/2022
Summer,5/16/2022,8/21/2022
Fall,8/22/2022,12/18/2022
Winter,12/19/2022,1/15/2023
Spring,1/16/2023,5/14/2023
